"Record Type","Auxiliary On Us","External Processing Code","Payor Bank Routing Number","Payor Bank Routing Number Check Digit","On Us","Item Amount","ECE Institution Item Sequence Number","Documentation Type Indicator","Return Acceptance Indicator","MICR Valid Indicator","BFD Indicator","Check Detail Record Addendum Count","Correction Indicator","Archive Type Indicator"
"25","","","05777093","0","209 153 53/111","0000010000","44000000","G","0","1","Y","02","0","A"
"25","","","08777070","6","29602722/112","0000010002","44000001","G","1","1","Y","02","1","B"
"25","","","09777059","2","60666044/113","0000010004","44000002","G","2","1","Y","02","2","C"
"25","","","07777039","2","29343913/114","0000010006","44000003","G","3","1","Y","02","3","D"
"25","","","07777097","8","96041882/115","0000010008","44000004","G","4","1","Y","02","0","E"
"25","","","02777021","6","34130593/116","0000010010","44000005","G","5","1","Y","02","1","F"
"25","","","11777054","0","73946405/117","0000010012","44000006","G","6","1","Y","02","2","G"
"25","","","05777029","9","87248393/118","0000010014","44000007","G","7","1","Y","02","3","H"
"25","","","02777031","3","17921101/119","0000010016","44000008","G","8","1","Y","02","0","I"
"25","11223344","","11777024","9","31086035/","0000010018","44000009","G","9","1","Y","02","1","A"
